"operator","inout_travelling","network_type","rating","calldrop_category","latitude","longitude","state_name"
"VI","Indoor","4G","5","Satisfactory","23.18249621","77.43790668","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.18249621","77.43790668","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.18249621","77.43790668","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.18249621","77.43790668","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.18249621","77.43790668","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.18249621","77.43790668","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16383252","77.44571468","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16383252","77.44571468","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16383252","77.44571468","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16383252","77.44571468","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16373605","77.44599505","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16373605","77.44599505","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16373605","77.44599505","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16373605","77.44599505","Madhya Pradesh"
"VI","Indoor","4G","5","Satisfactory","23.16373605","77.44599505","Madhya Pradesh"
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA "
"BSNL","Indoor","2G","1","Poor Voice Quality","29.3930312","79.4411604","Uttarakhand"
"RJio","Outdoor","Unknown","4","Satisfactory","18.4973422","73.8591731","Maharashtra"
"RJio","Outdoor","Unknown","4","Satisfactory","18.5198405","73.8561796","Maharashtra"
"VI","Outdoor","4G","4","Satisfactory","18.5197356","73.8561845","Maharashtra"
"VI","Outdoor","Unknown","4","Satisfactory","18.5070029","73.8617652","Maharashtra"
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA "
"VI","Indoor","4G","1","Poor Voice Quality","28.62776723","77.05926078","Delhi"
"VI","Indoor","Unknown","1","Poor Voice Quality","-1","-1","NA "
"RJio","Outdoor","4G","3","Satisfactory","-1","-1","NA "
"RJio","Outdoor","4G","3","Satisfactory","-1","-1","NA "
"RJio","Indoor","4G","5","Satisfactory","-1","-1","NA "
"VI","Outdoor","3G","1","Poor Voice Quality","-1","-1","NA "
"VI","Indoor","4G","4","Satisfactory","21.12318469","79.0679315","Maharashtra"
"RJio","Travelling","4G","4","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","1","Call Dropped","-1","-1","NA "
"VI","Indoor","4G","1","Poor Voice Quality","-1","-1","NA "
"VI","Indoor","4G","1","Poor Voice Quality","-1","-1","NA "
"VI","Indoor","4G","1","Poor Voice Quality","-1","-1","NA "
"RJio","Outdoor","4G","5","Satisfactory","-1","-1","NA "
"RJio","Outdoor","4G","3","Satisfactory","-1","-1","NA "
"Airtel","Indoor","Unknown","4","Satisfactory","13.93659042","75.54828321","Karnataka"
"RJio","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA "
"RJio","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA "
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA "
"BSNL","Indoor","3G","3","Call Dropped","-1","-1","NA "
"BSNL","Outdoor","3G","1","Call Dropped","-1","-1","NA "
"BSNL","Outdoor","3G","1","Call Dropped","-1","-1","NA "
"BSNL","Outdoor","3G","1","Call Dropped","-1","-1","NA "
"BSNL","Outdoor","3G","1","Call Dropped","-1","-1","NA "
"BSNL","Outdoor","3G","1","Poor Voice Quality","-1","-1","NA "
"BSNL","Outdoor","2G","1","Poor Voice Quality","-1","-1","NA "
"BSNL","Outdoor","3G","1","Poor Voice Quality","-1","-1","NA "
"BSNL","Outdoor","3G","1","Call Dropped","-1","-1","NA "
"BSNL","Outdoor","3G","1","Poor Voice Quality","-1","-1","NA "
"BSNL","Outdoor","3G","1","Poor Voice Quality","-1","-1","NA "
"BSNL","Outdoor","2G","1","Call Dropped","-1","-1","NA "
"Airtel","Indoor","Unknown","1","Poor Voice Quality","21.13733491","72.77761314","Gujarat"
"BSNL","Outdoor","3G","1","Call Dropped","-1","-1","NA "
"BSNL","Outdoor","3G","1","Call Dropped","-1","-1","NA "
"BSNL","Outdoor","2G","1","Call Dropped","-1","-1","NA "
"BSNL","Outdoor","3G","1","Call Dropped","-1","-1","NA "
"VI","Indoor","4G","4","Satisfactory","21.13474338","79.06878229","Maharashtra"
"VI","Indoor","4G","4","Satisfactory","21.13474338","79.06878229","Maharashtra"
"Airtel","Indoor","4G","4","Satisfactory","13.93664599","75.54821753","Karnataka"
"RJio","Indoor","4G","1","Poor Voice Quality","-1","-1","NA "
"RJio","Indoor","4G","1","Poor Voice Quality","-1","-1","NA "
"RJio","Indoor","4G","4","Satisfactory","-1","-1","NA "
"BSNL","Outdoor","3G","1","Poor Voice Quality","12.92527","77.61859833","Karnataka"
"Airtel","Indoor","Unknown","4","Satisfactory","-1","-1","NA "
"Airtel","Indoor","4G","3","Poor Voice Quality","-1","-1","NA "
"RJio","Outdoor","4G","3","Satisfactory","-1","-1","NA "
"BSNL","Indoor","3G","3","Satisfactory","-1","-1","NA "
"RJio","Outdoor","4G","3","Satisfactory","-1","-1","NA "
"RJio","Outdoor","4G","3","Satisfactory","-1","-1","NA "
"VI","Indoor","4G","4","Satisfactory","21.12307011","79.06782401","Maharashtra"
"VI","Indoor","4G","5","Satisfactory","28.449109","77.5697917","Uttar Pradesh"
"VI","Indoor","4G","5","Satisfactory","21.12307011","79.06782401","Maharashtra"
"VI","Indoor","4G","1","Call Dropped","-1","-1","NA "
"VI","Indoor","4G","1","Call Dropped","-1","-1","NA "
"BSNL","Outdoor","3G","4","Satisfactory","-1","-1","NA "
"RJio","Indoor","4G","1","Call Dropped","-1","-1","NA "
"RJio","Outdoor","Unknown","2","Poor Voice Quality","-1","-1","NA "
"RJio","Outdoor","4G","3","Satisfactory","-1","-1","NA "
"Airtel","Indoor","4G","5","Satisfactory","13.9366731","75.5481824","Karnataka"
